Id,V1,V2,Hashtag
160,-37.0640657,28.47415963,thankful
161,85.07770447,25.41727228,Olympics
162,-80.42491191,4.598064699,dinner
163,14.166684,-45.94558521,CopaAmerica
164,33.06074692,3.01746947,GOAT
165,-39.4087077,9.179215332,friday
166,13.45306441,24.71201867,Halloween
167,-37.67755436,-64.61595748,NewYork
168,18.3949463,46.71641409,smh
169,-22.33276806,29.36501027,me
170,0.566550983,-5.602382189,InternationalWomensDay
171,42.3486236,26.89607227,lit
172,-37.20651785,20.31048879,happybirthday
173,74.58607669,-15.91342649,SB51
174,-10.45394271,59.82333509,inspiration
175,8.066570182,22.66220767,starwars
176,-32.42740198,31.9587999,thankyou
177,-8.391227235,-11.30901209,StPatricksDay
178,53.90916513,-68.79001663,baseball
179,-14.93025539,30.16615654,mood
180,-22.59122095,-7.93232583,Toronto
181,-81.47538658,11.30324685,lunch
182,-3.412518996,-45.10858704,blacklivesmatter
183,-46.32250774,-34.72369328,florida
184,-52.79096466,-7.216867835,flowers
185,9.754083463,9.17703906,TheBachelorette
186,36.08452588,14.31139211,Prince
187,13.53922803,-14.05646475,BestMaleAthlete
188,-41.31775936,5.674377893,Friday
189,-11.41681866,-70.10741502,Trump2016
190,10.6372209,76.05903721,workout
191,-61.2944414,51.02190555,Dallas
192,-48.09632285,30.73146668,christmas
193,-22.7991564,29.48725959,smile
194,90.1275709,-18.81286258,Patriots
195,-27.14540722,45.64472907,peace
196,23.61228115,-54.15253734,FelizLunes
197,35.35681176,69.60888805,NationalDogDay
198,-81.48268713,12.71337294,yummy
199,-2.000746801,57.71046832,WednesdayWisdom
200,-22.49660386,-25.06468807,Vegas
201,-2.568690734,-72.91616381,DonaldTrump
202,23.75812397,-60.77979101,Venezuela
203,15.78612103,19.73643191,Netflix
204,13.23994576,13.20024325,TWD
205,-36.62400171,28.72329155,grateful
206,74.19349637,-14.69412444,MyMaddenPrediction
207,36.77570961,73.93580643,dog
208,-0.248278497,-75.8803041,NeverTrump
209,-27.5401969,42.82071239,ValentinesDay
210,-2.078810771,-77.22570514,ElectionDay
211,-3.345257613,-79.97096814,vote
212,1.023150143,-76.65757184,HillaryClinton
213,17.23737155,19.95311085,StrangerThings
214,5.936657413,10.82411888,PokemonGo
215,19.52214159,22.66023052,GoldenGlobes
216,5.684595357,12.40539914,pokemongo
217,21.28597504,1.03911027,WCW
218,-57.49219947,-46.82507061,sanfrancisco
219,-18.44391272,-52.31415813,WomensMarch
220,56.91102714,-66.10275364,FlyTheW
221,-51.10267705,-17.03733489,sky
222,57.96170124,22.03438947,live
223,-11.5655227,-67.89504936,POTUS
224,54.95329689,-6.067839243,Family
225,-22.78427559,-26.82077371,vegas
226,1.028376366,52.03105849,priorities
227,58.51285917,-67.36023016,Cubs
228,-22.87253298,-26.84939583,lasvegas
229,-46.81994795,-64.76630623,neverforget
230,-39.07543756,9.414556816,saturday
231,3.862229099,-30.71650037,EURO2016
232,-31.61779749,16.10671308,happynewyear
233,-22.46320615,31.66271384,cute
234,-16.53720971,35.31408428,morning
235,85.74494081,-24.46557158,football
236,-60.36030468,50.58541402,LasVegas
237,-39.24070754,18.04686761,goodtimes
238,61.09097549,-36.65685697,design
239,18.85203766,43.22720541,sad
